"回答ID","投稿日時","最終ページ","開始言語","シード","開始日時","最終行動日時","IPアドレス","学籍番号を記入して下さい．(回答必須)","あなたの学年を教えてください．(回答必須)","あなたは留学生ですか？(回答必須)","あなたが所属している学科を選択してください．(回答必須)","あなたが所属している学科を選択してください．(回答必須) [その他]","次の中から所属するコースを選択してください．(回答必須)","次の中から所属するコースを選択してください．(回答必須) [その他]","この授業に対する興味の度合いを教えて下さい。（回答必須）  1=全く興味がない，5=とても興味がある ","授業内容（シラバス）の説明を受けて，この授業の概要や進め方，この授業で身につく能力についてどの程度理解できましたか？(回答必須)  1=全く理解できなかった，5=よく理解できた ","授業内容（シラバス）の説明を受けて，この授業に対して感じたことを記入して下さい．","この授業を受講するにあたって，あなた自身の達成目標は何ですか？","この授業はあなたの将来（就職活動，卒業後）にどれくらい役立つと思いますか？（必須項目）  1=全く役に立たない，5=非常に役に立つ ","この授業にどれくらい期待していますか？（回答必須）  1=全く期待していない，5=非常に期待している ","この授業を受講する理由を教えて下さい．（複数回答可）  [必修授業だから]","この授業を受講する理由を教えて下さい．（複数回答可）  [興味があったから]","この授業を受講する理由を教えて下さい．（複数回答可）  [単位取得のため]","この授業を受講する理由を教えて下さい．（複数回答可）  [その他]","この授業にどれくらい学習意欲を持って受講できそうですか？（必須回答）  1=全く持てない, 5=非常に持てる ","あなたが学習意欲を持って受講できる授業とはどのような授業ですか？","この授業に対するあなたの考え（単位について）に最も近いものを選んで下さい．（必須項目）","この授業に対するあなたの考え（内容について）に最も近いものを選んで下さい．（必須項目）","合計時間","グループ時刻: 所属","質問時刻: G00Q01","質問時刻: G00Q02","質問時刻: G00Q03","質問時刻: G00Q04","質問時刻: G00Q05","グループ時刻: 授業改善のための質問","質問時刻: G02Q07","質問時刻: G02Q06","質問時刻: G02Q08","質問時刻: G02Q10","質問時刻: G02Q14","質問時刻: G02Q16","質問時刻: G02Q09","質問時刻: G02Q11","質問時刻: G02Q12","質問時刻: G02Q13","質問時刻: G02Q15"
"1","","","ja","1289528520","2023-04-22 16:18:42","2023-04-22 16:18:42","14.9.242.65","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","0","","","","","","","","","","","","","","","","","",""
"2","2023-04-23 21:44:48","2","ja","39539834","2023-04-23 21:38:23","2023-04-23 21:44:48","61.87.59.21","2112200851","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","5","4","難しそうだと思いました。","簡単なプログラミングを自力でできるようになることです。","5","4","はい","いいえ","いいえ","","4","興味がある分野の授業。","単位が欲しい","多くのことを学びたい","384.6","32.33","","","","","","352.27","","","","","","","","","","",""
"3","2023-04-24 08:40:57","2","ja","931571692","2023-04-24 08:39:33","2023-04-24 08:40:57","150.97.96.120","2112200846","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","3","","","4","3","はい","いいえ","いいえ","","3","","単位も欲しい","ある程度学びたい","83.81","33.12","","","","","","50.69","","","","","","","","","","",""
"4","","","ja","1541639621","2023-04-24 08:47:14","2023-04-24 08:47:14","150.97.96.153","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","0","","","","","","","","","","","","","","","","","",""
"5","","","ja","1720478597","2023-04-24 08:53:28","2023-04-24 08:53:28","172.19.12.123","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","0","","","","","","","","","","","","","","","","","",""
"6","2023-04-24 11:44:23","2","ja","1079625945","2023-04-24 11:43:25","2023-04-24 11:44:23","172.19.12.123","2112200293","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","5","","","4","4","はい","いいえ","いいえ","","4","","単位が欲しい","多くのことを学びたい","57.38","17.67","","","","","","39.71","","","","","","","","","","",""
"7","2023-04-24 12:07:19","2","ja","240644193","2023-04-24 12:05:35","2023-04-24 12:07:19","150.97.96.182","2112200774","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","4","","","3","4","はい","いいえ","いいえ","","3","","単位が欲しい","ある程度学びたい","71.74","33.63","","","","","","38.11","","","","","","","","","","",""
"8","2023-04-24 12:18:21","2","ja","1175643623","2023-04-24 12:17:27","2023-04-24 12:18:21","150.97.96.164","2112200353","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","3","3","","","3","3","はい","いいえ","いいえ","","3","","単位も欲しい","多くのことを学びたい","52.87","23.71","","","","","","29.16","","","","","","","","","","",""
"9","","1","ja","1317424147","2023-04-24 12:45:54","2023-04-24 12:46:28","150.97.96.124","2112200851","学部2年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","","","","","","","いいえ","いいえ","いいえ","","","","","","33.55","21.67","","","","","","11.88","","","","","","","","","","",""
"10","2023-04-24 12:54:02","2","ja","1296364504","2023-04-24 12:48:06","2023-04-24 12:54:01","150.97.96.108","2112201252","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","3","5","","","5","4","はい","いいえ","はい","","3","","単位が欲しい","ある程度学びたい","122.68","30.69","","","","","","91.99","","","","","","","","","","",""
"11","","","ja","1360170997","2023-04-24 12:49:54","2023-04-24 12:49:54","172.19.5.237","","","","","","","","","","","","","","N/A","N/A","N/A","","","","","","0","","","","","","","","","","","","","","","","","",""
"12","2023-04-24 13:04:29","2","ja","771370631","2023-04-24 12:50:05","2023-04-24 13:04:29","172.19.1.150","2112290055","学部3年","いいえ","地域未来デザイン工学科","","情報デザイン・コミュニケーション工学コース","","4","4","分かりやすい資料と丁寧な説明で分かりやすかったです。","解析系・データサイエンスのライブラリを扱えるようになること","4","4","はい","いいえ","はい","","4","社会に役立てる授業だと理解できる授業","単位が欲しい","多くのことを学びたい","108.91","19.52","","","","","","89.39","","","","","","","","","","",""
